"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"QLD","Capital expenditure","Government","Australian Government",23,2010
"QLD","Capital expenditure","Government","State and local",1495,2010
"QLD","Capital expenditure","Non-government","Other non-government",480,2010
"QLD","Community health","Government","Australian Government",199,2010
"QLD","Community health","Government","State and local",1491,2010
"QLD","Community health","Non-government","Individuals",14,2010
"QLD","Community health","Non-government","Other non-government",22,2010
"QLD","Community health","Non-government","Private health insurance funds",0,2010
"QLD","Dental services","Government","Australian Government",256,2010
"QLD","Dental services","Government","State and local",197,2010
"QLD","Dental services","Non-government","Individuals",569,2010
"QLD","Dental services","Non-government","Other non-government",4,2010
"QLD","Dental services","Non-government","Private health insurance funds",224,2010
"QLD","Medical expense tax rebate","Government","Australian Government",89,2010
"QLD","Medical expense tax rebate","Non-government","Individuals",-89,2010
"QLD","Medical services","Government","Australian Government",3589,2010
"QLD","Medical services","Non-government","Individuals",593,2010
"QLD","Medical services","Non-government","Other non-government",153,2010
"QLD","Medical services","Non-government","Private health insurance funds",215,2010
"QLD","Other health practitioners","Government","Australian Government",304,2010
"QLD","Other health practitioners","Non-government","Individuals",445,2010
"QLD","Other health practitioners","Non-government","Other non-government",58,2010
"QLD","Other health practitioners","Non-government","Private health insurance funds",104,2010
"QLD","Patient transport services","Government","Australian Government",56,2010
"QLD","Patient transport services","Government","State and local",646,2010
"QLD","Patient transport services","Non-government","Individuals",0,2010
"QLD","Patient transport services","Non-government","Other non-government",6,2010
"QLD","Patient transport services","Non-government","Private health insurance funds",0,2010
"QLD","Private hospitals","Government","Australian Government",913,2010
"QLD","Private hospitals","Government","State and local",27,2010
"QLD","Private hospitals","Non-government","Individuals",335,2010
"QLD","Private hospitals","Non-government","Other non-government",162,2010
"QLD","Private hospitals","Non-government","Private health insurance funds",1113,2010
"QLD","Public health","Government","Australian Government",217,2010
"QLD","Public health","Government","State and local",160,2010
"QLD","Public health","Non-government","Individuals",15,2010
"QLD","Public health","Non-government","Other non-government",0,2010
"QLD","Public hospitals","Government","Australian Government",3050,2010
"QLD","Public hospitals","Government","State and local",3901,2010
"QLD","Public hospitals","Non-government","Individuals",316,2010
"QLD","Public hospitals","Non-government","Other non-government",235,2010
"QLD","Public hospitals","Non-government","Private health insurance funds",51,2010
"QLD","Research","Government","Australian Government",473,2010
"QLD","Research","Government","State and local",237,2010
"QLD","Research","Non-government","Other non-government",32,2010
"WA","Administration","Government","Australian Government",70,2010
"WA","Administration","Government","State and local",93,2010
"WA","Administration","Non-government","Other non-government",0,2010
"WA","Administration","Non-government","Private health insurance funds",113,2010
"WA","Aids and appliances","Government","Australian Government",64,2010
"WA","Aids and appliances","Non-government","Individuals",491,2010
"WA","Aids and appliances","Non-government","Other non-government",8,2010
"WA","Aids and appliances","Non-government","Private health insurance funds",49,2010
"WA","All other medications","Government","Australian Government",54,2010
"WA","All other medications","Non-government","Individuals",747,2010
"WA","All other medications","Non-government","Other non-government",18,2010
"WA","All other medications","Non-government","Private health insurance funds",6,2010
"WA","Benefit-paid pharmaceuticals","Government","Australian Government",732,2010
"WA","Benefit-paid pharmaceuticals","Non-government","Individuals",151,2010
"WA","Capital expenditure","Government","Australian Government",13,2010
"WA","Capital expenditure","Government","State and local",819,2010
"WA","Capital expenditure","Non-government","Other non-government",177,2010
"WA","Community health","Government","Australian Government",162,2010
"WA","Community health","Government","State and local",596,2010
"WA","Community health","Non-government","Individuals",3,2010
"WA","Community health","Non-government","Other non-government",6,2010
"WA","Community health","Non-government","Private health insurance funds",0,2010
"WA","Dental services","Government","Australian Government",98,2010
"WA","Dental services","Government","State and local",71,2010
"WA","Dental services","Non-government","Individuals",698,2010
"WA","Dental services","Non-government","Other non-government",4,2010
"WA","Dental services","Non-government","Private health insurance funds",165,2010
"WA","Medical expense tax rebate","Government","Australian Government",23,2010
"WA","Medical expense tax rebate","Non-government","Individuals",-23,2010
"WA","Medical services","Government","Australian Government",1531,2010
"WA","Medical services","Non-government","Individuals",300,2010
"WA","Medical services","Non-government","Other non-government",108,2010
"WA","Medical services","Non-government","Private health insurance funds",117,2010
"WA","Other health practitioners","Government","Australian Government",139,2010
"WA","Other health practitioners","Non-government","Individuals",68,2010
"WA","Other health practitioners","Non-government","Other non-government",35,2010
"WA","Other health practitioners","Non-government","Private health insurance funds",60,2010
"WA","Patient transport services","Government","Australian Government",36,2010
"WA","Patient transport services","Government","State and local",153,2010
"WA","Patient transport services","Non-government","Individuals",0,2010
"WA","Patient transport services","Non-government","Other non-government",11,2010
"WA","Patient transport services","Non-government","Private health insurance funds",18,2010
"WA","Private hospitals","Government","Australian Government",401,2010
"WA","Private hospitals","Government","State and local",335,2010
"WA","Private hospitals","Non-government","Individuals",197,2010
"WA","Private hospitals","Non-government","Other non-government",32,2010
"WA","Private hospitals","Non-government","Private health insurance funds",575,2010
"WA","Public health","Government","Australian Government",116,2010
"WA","Public health","Government","State and local",110,2010
"WA","Public health","Non-government","Individuals",0,2010
"WA","Public health","Non-government","Other non-government",0,2010
"WA","Public hospitals","Government","Australian Government",1573,2010
"WA","Public hospitals","Government","State and local",2068,2010
"WA","Public hospitals","Non-government","Individuals",197,2010
"WA","Public hospitals","Non-government","Other non-government",44,2010
"WA","Public hospitals","Non-government","Private health insurance funds",48,2010
"WA","Research","Government","Australian Government",256,2010
"WA","Research","Government","State and local",97,2010
"WA","Research","Non-government","Individuals",0,2010
"WA","Research","Non-government","Other non-government",14,2010
"SA","Administration","Government","Australian Government",49,2010
"SA","Administration","Government","State and local",220,2010
"SA","Administration","Non-government","Individuals",0,2010
"SA","Administration","Non-government","Other non-government",5,2010
"SA","Administration","Non-government","Private health insurance funds",79,2010
"SA","Aids and appliances","Government","Australian Government",50,2010
"SA","Aids and appliances","Non-government","Individuals",152,2010
"SA","Aids and appliances","Non-government","Other non-government",14,2010
"SA","Aids and appliances","Non-government","Private health insurance funds",38,2010
"SA","All other medications","Government","Australian Government",43,2010
"SA","All other medications","Non-government","Individuals",633,2010
"SA","All other medications","Non-government","Other non-government",6,2010
"SA","All other medications","Non-government","Private health insurance funds",4,2010
"SA","Benefit-paid pharmaceuticals","Government","Australian Government",678,2010
"SA","Benefit-paid pharmaceuticals","Non-government","Individuals",124,2010
"SA","Capital expenditure","Government","Australian Government",12,2010
"SA","Capital expenditure","Government","State and local",256,2010
"SA","Capital expenditure","Non-government","Other non-government",58,2010
"SA","Community health","Government","Australian Government",83,2010
"SA","Community health","Government","State and local",572,2010
"SA","Community health","Non-government","Individuals",63,2010
"SA","Community health","Non-government","Other non-government",13,2010
"SA","Community health","Non-government","Private health insurance funds",0,2010
"SA","Dental services","Government","Australian Government",121,2010
"SA","Dental services","Government","State and local",61,2010
"SA","Dental services","Non-government","Individuals",137,2010
"SA","Dental services","Non-government","Other non-government",3,2010
"SA","Dental services","Non-government","Private health insurance funds",103,2010
"SA","Medical expense tax rebate","Government","Australian Government",43,2010
"SA","Medical expense tax rebate","Non-government","Individuals",-43,2010
"SA","Medical services","Government","Australian Government",1350,2010
"SA","Medical services","Non-government","Individuals",146,2010
"SA","Medical services","Non-government","Other non-government",124,2010
"SA","Medical services","Non-government","Private health insurance funds",98,2010
"SA","Other health practitioners","Government","Australian Government",117,2010
"SA","Other health practitioners","Non-government","Individuals",44,2010
"SA","Other health practitioners","Non-government","Other non-government",41,2010
"SA","Other health practitioners","Non-government","Private health insurance funds",58,2010
"SA","Patient transport services","Government","Australian Government",25,2010
"SA","Patient transport services","Government","State and local",139,2010
"SA","Patient transport services","Non-government","Individuals",75,2010
"SA","Patient transport services","Non-government","Other non-government",8,2010
"SA","Patient transport services","Non-government","Private health insurance funds",15,2010
"SA","Private hospitals","Government","Australian Government",239,2010
"SA","Private hospitals","Government","State and local",5,2010
"SA","Private hospitals","Non-government","Individuals",86,2010
"SA","Private hospitals","Non-government","Other non-government",15,2010
"SA","Private hospitals","Non-government","Private health insurance funds",368,2010
"SA","Public health","Government","Australian Government",89,2010
"SA","Public health","Government","State and local",79,2010
"SA","Public health","Non-government","Individuals",1,2010
"SA","Public health","Non-government","Other non-government",1,2010
"SA","Public hospitals","Government","Australian Government",1230,2010
"SA","Public hospitals","Government","State and local",1778,2010
"SA","Public hospitals","Non-government","Individuals",37,2010
"SA","Public hospitals","Non-government","Other non-government",85,2010
"SA","Public hospitals","Non-government","Private health insurance funds",43,2010
"SA","Research","Government","Australian Government",285,2010
"SA","Research","Government","State and local",25,2010
"SA","Research","Non-government","Individuals",3,2010
"SA","Research","Non-government","Other non-government",13,2010
"TAS","Administration","Government","Australian Government",15,2010
"TAS","Administration","Non-government","Private health insurance funds",24,2010
"TAS","Aids and appliances","Government","Australian Government",15,2010
"TAS","Aids and appliances","Non-government","Individuals",55,2010
"TAS","Aids and appliances","Non-government","Other non-government",3,2010
"TAS","Aids and appliances","Non-government","Private health insurance funds",11,2010
"TAS","All other medications","Government","Australian Government",13,2010
"TAS","All other medications","Non-government","Individuals",200,2010
"TAS","All other medications","Non-government","Other non-government",2,2010
"TAS","All other medications","Non-government","Private health insurance funds",1,2010
"TAS","Benefit-paid pharmaceuticals","Government","Australian Government",222,2010
"TAS","Benefit-paid pharmaceuticals","Non-government","Individuals",40,2010
"TAS","Capital expenditure","Government","Australian Government",5,2010
"TAS","Capital expenditure","Government","State and local",131,2010
"TAS","Capital expenditure","Non-government","Other non-government",48,2010
"TAS","Community health","Government","Australian Government",21,2010
"TAS","Community health","Government","State and local",121,2010
"TAS","Community health","Non-government","Individuals",0,2010
"TAS","Community health","Non-government","Other non-government",2,2010
"TAS","Community health","Non-government","Private health insurance funds",0,2010
"TAS","Dental services","Government","Australian Government",17,2010
"TAS","Dental services","Government","State and local",24,2010
"TAS","Dental services","Non-government","Individuals",75,2010
"TAS","Dental services","Non-government","Other non-government",1,2010
"TAS","Dental services","Non-government","Private health insurance funds",21,2010
"TAS","Medical expense tax rebate","Government","Australian Government",6,2010
"TAS","Medical expense tax rebate","Non-government","Individuals",-6,2010
"TAS","Medical services","Government","Australian Government",482,2010
"TAS","Medical services","Non-government","Individuals",68,2010
"TAS","Medical services","Non-government","Other non-government",19,2010
"TAS","Medical services","Non-government","Private health insurance funds",25,2010
"TAS","Other health practitioners","Government","Australian Government",35,2010
"TAS","Other health practitioners","Non-government","Individuals",38,2010
"TAS","Other health practitioners","Non-government","Other non-government",11,2010
"TAS","Other health practitioners","Non-government","Private health insurance funds",10,2010
"TAS","Patient transport services","Government","Australian Government",8,2010
"TAS","Patient transport services","Government","State and local",60,2010
"TAS","Patient transport services","Non-government","Individuals",2,2010
"TAS","Patient transport services","Non-government","Other non-government",4,2010
"TAS","Patient transport services","Non-government","Private health insurance funds",0,2010
"TAS","Private hospitals","Government","Australian Government",81,2010
"TAS","Private hospitals","Government","State and local",11,2010
"TAS","Private hospitals","Non-government","Individuals",5,2010
"TAS","Private hospitals","Non-government","Other non-government",14,2010
"TAS","Private hospitals","Non-government","Private health insurance funds",121,2010
"TAS","Public health","Government","Australian Government",28,2010
"TAS","Public health","Government","State and local",25,2010
"TAS","Public health","Non-government","Other non-government",0,2010
"TAS","Public hospitals","Government","Australian Government",368,2010
"TAS","Public hospitals","Government","State and local",511,2010
"TAS","Public hospitals","Non-government","Individuals",0,2010
"TAS","Public hospitals","Non-government","Other non-government",19,2010
"TAS","Public hospitals","Non-government","Private health insurance funds",15,2010
"TAS","Research","Government","Australian Government",41,2010
"TAS","Research","Government","State and local",8,2010
"TAS","Research","Non-government","Other non-government",2,2010
"ACT","Administration","Government","Australian Government",51,2010
"ACT","Administration","Government","State and local",0,2010
"ACT","Administration","Non-government","Private health insurance funds",13,2010
"ACT","Aids and appliances","Government","Australian Government",9,2010
"ACT","Aids and appliances","Non-government","Individuals",22,2010
"ACT","Aids and appliances","Non-government","Other non-government",1,2010
"ACT","Aids and appliances","Non-government","Private health insurance funds",7,2010
"ACT","All other medications","Government","Australian Government",7,2010
"ACT","All other medications","Non-government","Individuals",97,2010
"ACT","All other medications","Non-government","Other non-government",1,2010
"ACT","All other medications","Non-government","Private health insurance funds",1,2010
"ACT","Benefit-paid pharmaceuticals","Government","Australian Government",102,2010
"ACT","Benefit-paid pharmaceuticals","Non-government","Individuals",25,2010
"ACT","Capital expenditure","Government","Australian Government",4,2010
"ACT","Capital expenditure","Government","State and local",124,2010
"ACT","Capital expenditure","Non-government","Other non-government",17,2010
"ACT","Community health","Government","Australian Government",24,2010
"ACT","Community health","Government","State and local",147,2010
"ACT","Community health","Non-government","Other non-government",0,2010
"ACT","Community health","Non-government","Private health insurance funds",0,2010
"ACT","Dental services","Government","Australian Government",16,2010
"ACT","Dental services","Government","State and local",11,2010
"ACT","Dental services","Non-government","Individuals",102,2010
"ACT","Dental services","Non-government","Other non-government",0,2010
"ACT","Dental services","Non-government","Private health insurance funds",20,2010
"ACT","Medical expense tax rebate","Government","Australian Government",2,2010
"ACT","Medical expense tax rebate","Non-government","Individuals",-2,2010
"ACT","Medical services","Government","Australian Government",259,2010
"ACT","Medical services","Non-government","Individuals",98,2010
"ACT","Medical services","Non-government","Other non-government",9,2010
"ACT","Medical services","Non-government","Private health insurance funds",11,2010
"ACT","Other health practitioners","Government","Australian Government",17,2010
"ACT","Other health practitioners","Government","State and local",1,2010
"ACT","Other health practitioners","Non-government","Individuals",28,2010
"ACT","Other health practitioners","Non-government","Other non-government",9,2010
"ACT","Other health practitioners","Non-government","Private health insurance funds",8,2010
"ACT","Patient transport services","Government","Australian Government",5,2010
"ACT","Patient transport services","Government","State and local",17,2010
"ACT","Patient transport services","Non-government","Individuals",0,2010
"ACT","Patient transport services","Non-government","Other non-government",1,2010
"ACT","Patient transport services","Non-government","Private health insurance funds",11,2010
"ACT","Private hospitals","Government","Australian Government",41,2010
"ACT","Private hospitals","Government","State and local",1,2010
"ACT","Private hospitals","Non-government","Individuals",22,2010
"ACT","Private hospitals","Non-government","Other non-government",7,2010
"ACT","Private hospitals","Non-government","Private health insurance funds",59,2010
"ACT","Public health","Government","Australian Government",18,2010
"ACT","Public health","Government","State and local",32,2010
"ACT","Public health","Non-government","Other non-government",0,2010
"ACT","Public hospitals","Government","Australian Government",248,2010
"ACT","Public hospitals","Government","State and local",587,2010
"ACT","Public hospitals","Non-government","Individuals",2,2010
"ACT","Public hospitals","Non-government","Other non-government",8,2010
"ACT","Public hospitals","Non-government","Private health insurance funds",9,2010
"ACT","Research","Government","Australian Government",170,2010
"ACT","Research","Non-government","Individuals",0,2010
"ACT","Research","Non-government","Other non-government",6,2010
"NT","Administration","Government","Australian Government",4,2010
"NT","Administration","Government","State and local",0,2010
"NT","Administration","Non-government","Other non-government",0,2010
"NT","Administration","Non-government","Private health insurance funds",5,2010
"NT","Aids and appliances","Government","Australian Government",5,2010
"NT","Aids and appliances","Non-government","Individuals",17,2010
"NT","Aids and appliances","Non-government","Other non-government",1,2010
"NT","Aids and appliances","Non-government","Private health insurance funds",3,2010
"NT","All other medications","Government","Australian Government",10,2010
"NT","All other medications","Non-government","Individuals",35,2010
"NT","All other medications","Non-government","Other non-government",0,2010
"NT","All other medications","Non-government","Private health insurance funds",0,2010
"NT","Benefit-paid pharmaceuticals","Government","Australian Government",51,2010
"NT","Benefit-paid pharmaceuticals","Non-government","Individuals",8,2010
"NT","Capital expenditure","Government","Australian Government",8,2010
"NT","Capital expenditure","Government","State and local",54,2010
"NT","Capital expenditure","Non-government","Other non-government",13,2010
"NT","Community health","Government","Australian Government",165,2010
"NT","Community health","Government","State and local",269,2010
"NT","Community health","Non-government","Individuals",0,2010
"NT","Community health","Non-government","Other non-government",1,2010
"NT","Community health","Non-government","Private health insurance funds",0,2010
"NT","Dental services","Government","Australian Government",4,2010
"NT","Dental services","Government","State and local",8,2010
"NT","Dental services","Non-government","Individuals",67,2010
"NT","Dental services","Non-government","Other non-government",0,2010
"NT","Dental services","Non-government","Private health insurance funds",6,2010
"NT","Medical expense tax rebate","Government","Australian Government",15,2010
"NT","Medical expense tax rebate","Non-government","Individuals",-15,2010
"NT","Medical services","Government","Australian Government",117,2010
"NT","Medical services","Non-government","Individuals",15,2010
"NT","Medical services","Non-government","Other non-government",11,2010
"NT","Medical services","Non-government","Private health insurance funds",4,2010
"NT","Other health practitioners","Government","Australian Government",7,2010
"NT","Other health practitioners","Government","State and local",5,2010
"NT","Other health practitioners","Non-government","Individuals",22,2010
"NT","Other health practitioners","Non-government","Other non-government",5,2010
"NT","Other health practitioners","Non-government","Private health insurance funds",3,2010
"NT","Patient transport services","Government","Australian Government",12,2010
"NT","Patient transport services","Government","State and local",28,2010
"NT","Patient transport services","Non-government","Individuals",0,2010
"NT","Patient transport services","Non-government","Other non-government",0,2010
"NT","Patient transport services","Non-government","Private health insurance funds",0,2010
"NT","Private hospitals","Government","Australian Government",13,2010
"NT","Private hospitals","Government","State and local",1,2010
"NT","Private hospitals","Non-government","Individuals",21,2010
"NT","Private hospitals","Non-government","Other non-government",4,2010
"NT","Private hospitals","Non-government","Private health insurance funds",23,2010
"NT","Public health","Government","Australian Government",35,2010
"NT","Public health","Government","State and local",80,2010
"NT","Public health","Non-government","Individuals",0,2010
"NT","Public health","Non-government","Other non-government",0,2010
"NT","Public hospitals","Government","Australian Government",179,2010
"NT","Public hospitals","Government","State and local",413,2010
"NT","Public hospitals","Non-government","Individuals",5,2010
"NT","Public hospitals","Non-government","Other non-government",6,2010
"NT","Public hospitals","Non-government","Private health insurance funds",1,2010
"NT","Research","Government","Australian Government",34,2010
"NT","Research","Government","State and local",20,2010
"NT","Research","Non-government","Other non-government",1,2010
"NSW","Administration","Government","Australian Government",300,2011
"NSW","Administration","Government","State and local",9,2011
"NSW","Administration","Non-government","Other non-government",2,2011
"NSW","Administration","Non-government","Private health insurance funds",340,2011
"NSW","Aids and appliances","Government","Australian Government",211,2011
"NSW","Aids and appliances","Non-government","Individuals",479,2011
"NSW","Aids and appliances","Non-government","Other non-government",5,2011
"NSW","Aids and appliances","Non-government","Private health insurance funds",168,2011
"NSW","All other medications","Government","Australian Government",178,2011
"NSW","All other medications","Non-government","Individuals",2718,2011
"NSW","All other medications","Non-government","Other non-government",11,2011
"NSW","All other medications","Non-government","Private health insurance funds",20,2011
"NSW","Benefit-paid pharmaceuticals","Government","Australian Government",2842,2011
"NSW","Benefit-paid pharmaceuticals","Non-government","Individuals",554,2011
"NSW","Capital expenditure","Government","Australian Government",105,2011
"NSW","Capital expenditure","Government","State and local",765,2011
"NSW","Capital expenditure","Non-government","Other non-government",989,2011
"NSW","Community health","Government","Australian Government",267,2011
"NSW","Community health","Government","State and local",1521,2011
"NSW","Community health","Non-government","Individuals",35,2011
"NSW","Community health","Non-government","Other non-government",103,2011
"NSW","Community health","Non-government","Private health insurance funds",0,2011
"NSW","Dental services","Government","Australian Government",660,2011
"NSW","Dental services","Government","State and local",190,2011
"NSW","Dental services","Non-government","Individuals",1305,2011
"NSW","Dental services","Non-government","Other non-government",7,2011
"NSW","Dental services","Non-government","Private health insurance funds",397,2011
"NSW","Medical expense tax rebate","Government","Australian Government",206,2011
"NSW","Medical expense tax rebate","Non-government","Individuals",-206,2011
"NSW","Medical services","Government","Australian Government",6400,2011
"NSW","Medical services","Non-government","Individuals",1076,2011
"NSW","Medical services","Non-government","Other non-government",539,2011
"NSW","Medical services","Non-government","Private health insurance funds",344,2011
"NSW","Other health practitioners","Government","Australian Government",506,2011
"NSW","Other health practitioners","Non-government","Individuals",393,2011
"NSW","Other health practitioners","Non-government","Other non-government",119,2011
"NSW","Other health practitioners","Non-government","Private health insurance funds",198,2011
"NSW","Patient transport services","Government","Australian Government",130,2011
"NSW","Patient transport services","Government","State and local",513,2011
"NSW","Patient transport services","Non-government","Individuals",78,2011
"NSW","Patient transport services","Non-government","Other non-government",36,2011
"NSW","Patient transport services","Non-government","Private health insurance funds",112,2011
"NSW","Private hospitals","Government","Australian Government",993,2011
"NSW","Private hospitals","Non-government","Individuals",346,2011
"NSW","Private hospitals","Non-government","Other non-government",240,2011
"NSW","Private hospitals","Non-government","Private health insurance funds",1620,2011
"NSW","Public health","Government","Australian Government",452,2011
"NSW","Public health","Government","State and local",110,2011
"NSW","Public health","Non-government","Other non-government",45,2011
"NSW","Public hospitals","Government","Australian Government",5326,2011
"NSW","Public hospitals","Government","State and local",6838,2011
"NSW","Public hospitals","Non-government","Individuals",242,2011
"NSW","Public hospitals","Non-government","Other non-government",685,2011
"NSW","Public hospitals","Non-government","Private health insurance funds",396,2011
"NSW","Research","Government","Australian Government",1065,2011
"NSW","Research","Government","State and local",219,2011
"NSW","Research","Non-government","Individuals",0,2011
"NSW","Research","Non-government","Other non-government",108,2011
"VIC","Administration","Government","Australian Government",224,2011
"VIC","Administration","Non-government","Private health insurance funds",273,2011
"VIC","Aids and appliances","Government","Australian Government",148,2011
"VIC","Aids and appliances","Non-government","Individuals",798,2011
"VIC","Aids and appliances","Non-government","Other non-government",18,2011
"VIC","Aids and appliances","Non-government","Private health insurance funds",100,2011
"VIC","All other medications","Government","Australian Government",129,2011
"VIC","All other medications","Non-government","Individuals",2042,2011
"VIC","All other medications","Non-government","Other non-government",28,2011
"VIC","All other medications","Non-government","Private health insurance funds",7,2011
"VIC","Benefit-paid pharmaceuticals","Government","Australian Government",2065,2011
"VIC","Benefit-paid pharmaceuticals","Non-government","Individuals",410,2011
"VIC","Capital expenditure","Government","Australian Government",73,2011
"VIC","Capital expenditure","Government","State and local",626,2011
"VIC","Capital expenditure","Non-government","Other non-government",695,2011
"VIC","Community health","Government","Australian Government",143,2011
"VIC","Community health","Government","State and local",548,2011
"VIC","Community health","Non-government","Individuals",3,2011
"VIC","Community health","Non-government","Other non-government",15,2011
"VIC","Community health","Non-government","Private health insurance funds",0,2011
"VIC","Dental services","Government","Australian Government",342,2011
"VIC","Dental services","Government","State and local",153,2011
"VIC","Dental services","Non-government","Individuals",1768,2011
"VIC","Dental services","Non-government","Other non-government",14,2011
"VIC","Dental services","Non-government","Private health insurance funds",254,2011
"VIC","Medical expense tax rebate","Government","Australian Government",141,2011
"VIC","Medical expense tax rebate","Non-government","Individuals",-141,2011
"VIC","Medical services","Government","Australian Government",4639,2011
"VIC","Medical services","Non-government","Individuals",669,2011
"VIC","Medical services","Non-government","Other non-government",173,2011
"VIC","Medical services","Non-government","Private health insurance funds",329,2011
"VIC","Other health practitioners","Government","Australian Government",390,2011
"VIC","Other health practitioners","Non-government","Individuals",790,2011
"VIC","Other health practitioners","Non-government","Other non-government",118,2011
"VIC","Other health practitioners","Non-government","Private health insurance funds",134,2011
"VIC","Patient transport services","Government","Australian Government",42,2011
"VIC","Patient transport services","Government","State and local",405,2011
"VIC","Patient transport services","Non-government","Individuals",196,2011
"VIC","Patient transport services","Non-government","Other non-government",30,2011
"VIC","Patient transport services","Non-government","Private health insurance funds",20,2011
"VIC","Private hospitals","Government","Australian Government",839,2011
"VIC","Private hospitals","Government","State and local",82,2011
"VIC","Private hospitals","Non-government","Individuals",375,2011
"VIC","Private hospitals","Non-government","Other non-government",238,2011
"VIC","Private hospitals","Non-government","Private health insurance funds",1402,2011
"VIC","Public health","Government","Australian Government",333,2011
"VIC","Public health","Non-government","Other non-government",0,2011
"VIC","Public hospitals","Government","Australian Government",4023,2011
"VIC","Public hospitals","Government","State and local",5074,2011
"VIC","Public hospitals","Non-government","Individuals",388,2011
"VIC","Public hospitals","Non-government","Other non-government",499,2011
"VIC","Public hospitals","Non-government","Private health insurance funds",190,2011
"VIC","Research","Government","Australian Government",1310,2011
"VIC","Research","Government","State and local",199,2011
"VIC","Research","Non-government","Other non-government",104,2011
"QLD","Administration","Government","Australian Government",213,2011
"QLD","Administration","Government","State and local",186,2011
"QLD","Administration","Non-government","Private health insurance funds",228,2011
"QLD","Aids and appliances","Government","Australian Government",126,2011
"QLD","Aids and appliances","Non-government","Individuals",486,2011
"QLD","Aids and appliances","Non-government","Other non-government",12,2011
"QLD","Aids and appliances","Non-government","Private health insurance funds",99,2011
"QLD","All other medications","Government","Australian Government",110,2011
"QLD","All other medications","Non-government","Individuals",1551,2011
"QLD","All other medications","Non-government","Other non-government",6,2011
"QLD","All other medications","Non-government","Private health insurance funds",10,2011
"QLD","Benefit-paid pharmaceuticals","Government","Australian Government",1659,2011
"QLD","Benefit-paid pharmaceuticals","Non-government","Individuals",327,2011
"QLD","Capital expenditure","Government","Australian Government",62,2011
"QLD","Capital expenditure","Government","State and local",1853,2011
"QLD","Capital expenditure","Non-government","Other non-government",375,2011
"QLD","Community health","Government","Australian Government",227,2011
"QLD","Community health","Government","State and local",1822,2011
"QLD","Community health","Non-government","Individuals",15,2011
"QLD","Community health","Non-government","Other non-government",7,2011
"QLD","Community health","Non-government","Private health insurance funds",0,2011
"QLD","Dental services","Government","Australian Government",311,2011
"QLD","Dental services","Government","State and local",188,2011
"QLD","Dental services","Non-government","Individuals",539,2011
"QLD","Dental services","Non-government","Other non-government",4,2011
"QLD","Dental services","Non-government","Private health insurance funds",257,2011
"QLD","Medical expense tax rebate","Government","Australian Government",99,2011
"QLD","Medical expense tax rebate","Non-government","Individuals",-99,2011
"QLD","Medical services","Government","Australian Government",3731,2011
"QLD","Medical services","Non-government","Individuals",593,2011
"QLD","Medical services","Non-government","Other non-government",151,2011
"QLD","Medical services","Non-government","Private health insurance funds",244,2011
"QLD","Other health practitioners","Government","Australian Government",315,2011
"QLD","Other health practitioners","Non-government","Individuals",493,2011
"QLD","Other health practitioners","Non-government","Other non-government",55,2011
"QLD","Other health practitioners","Non-government","Private health insurance funds",115,2011
"QLD","Patient transport services","Government","Australian Government",38,2011
"QLD","Patient transport services","Government","State and local",667,2011
"QLD","Patient transport services","Non-government","Individuals",0,2011
"QLD","Patient transport services","Non-government","Other non-government",5,2011
"QLD","Patient transport services","Non-government","Private health insurance funds",0,2011
"QLD","Private hospitals","Government","Australian Government",886,2011
"QLD","Private hospitals","Government","State and local",28,2011
"QLD","Private hospitals","Non-government","Individuals",318,2011
"QLD","Private hospitals","Non-government","Other non-government",159,2011
"QLD","Private hospitals","Non-government","Private health insurance funds",1228,2011
"QLD","Public health","Government","Australian Government",325,2011
"QLD","Public health","Government","State and local",84,2011
"QLD","Public health","Non-government","Individuals",16,2011
"QLD","Public health","Non-government","Other non-government",0,2011
"QLD","Public hospitals","Government","Australian Government",3086,2011
"QLD","Public hospitals","Government","State and local",4209,2011
"QLD","Public hospitals","Non-government","Individuals",440,2011
"QLD","Public hospitals","Non-government","Other non-government",256,2011
"QLD","Public hospitals","Non-government","Private health insurance funds",91,2011
"QLD","Research","Government","Australian Government",591,2011
"QLD","Research","Government","State and local",189,2011
"QLD","Research","Non-government","Other non-government",33,2011
"WA","Administration","Government","Australian Government",99,2011
"WA","Administration","Government","State and local",105,2011
"WA","Administration","Non-government","Other non-government",0,2011
"WA","Administration","Non-government","Private health insurance funds",126,2011
"WA","Aids and appliances","Government","Australian Government",66,2011
"WA","Aids and appliances","Non-government","Individuals",498,2011
"WA","Aids and appliances","Non-government","Other non-government",9,2011
"WA","Aids and appliances","Non-government","Private health insurance funds",55,2011
"WA","All other medications","Government","Australian Government",56,2011
"WA","All other medications","Non-government","Individuals",772,2011
"WA","All other medications","Non-government","Other non-government",24,2011
"WA","All other medications","Non-government","Private health insurance funds",6,2011
"WA","Benefit-paid pharmaceuticals","Government","Australian Government",787,2011
"WA","Benefit-paid pharmaceuticals","Non-government","Individuals",167,2011
"WA","Capital expenditure","Government","Australian Government",31,2011
"WA","Capital expenditure","Government","State and local",1160,2011
"WA","Capital expenditure","Non-government","Other non-government",177,2011
"WA","Community health","Government","Australian Government",156,2011
"WA","Community health","Government","State and local",616,2011
"WA","Community health","Non-government","Individuals",5,2011
"WA","Community health","Non-government","Other non-government",8,2011
